id,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,target,smstime,calltime,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6
AS14.01,7.571428571428571,-0.3333333333333333,0.9333333333333333,0.08797776538921999,150.89816508990413,5,4,11.755369491525423,55.09503977272727,122.46980769230768,37.886153846153846,,,55.97490476190476,283.5164705882353,23.53865,3.148,15.434571428571429,,7.0,932.0,948.0,0,1,0,0,0,0,0
AS14.01,7.357142857142857,-0.35714285714285715,0.9230769230769231,0.05155631470295546,99.92493442140642,2,0,23.56187462686567,51.714693396226416,94.31004081632653,51.69477777777778,166.6525,,55.70190476190476,159.04933333333332,20.991,,18.10568085106383,,7.8,932.0,948.0,0,0,1,0,0,0,0
AS14.01,7.466666666666667,-0.5,0.8333333333333334,0.09116167670288353,91.035055548537,3,0,20.07244474393531,45.08445895522388,68.2232641509434,56.01833333333334,166.6525,,15.72836842105263,116.98336,17.487777777777776,,19.62878260869565,,8.0,932.0,948.0,0,0,0,1,0,0,0
AS14.01,7.6,-0.35714285714285715,0.9166666666666666,0.09695832523930291,79.81825734470405,8,4,17.529516411378555,40.56425260416667,54.00555319148936,33.25737254901961,166.6525,28.098000000000003,14.246578947368421,115.31048936170212,17.487777777777776,,20.315384615384616,,7.6,944.0,949.0,0,0,0,0,1,0,0
AS14.01,7.8,-0.3333333333333333,0.9230769230769231,0.08848591549505998,92.29948027449252,8,4,8.028566210045662,44.59851700680272,45.81434482758621,33.73017073170732,,28.098000000000003,13.824,96.3229,17.049875,,17.861227272727273,,8.0,955.0,950.0,0,0,0,0,0,1,0
AS14.01,7.866666666666666,-0.26666666666666666,1.0,0.062049057446534925,99.21101534519049,7,5,8.605040201005025,51.90227135678392,99.60288888888888,31.990059523809524,,28.098000000000003,7.340125,98.2635,143.631,30.101999999999997,19.34557142857143,,8.0,962.0,952.0,0,0,0,0,0,0,1
AS14.01,7.857142857142857,-0.2857142857142857,1.0,0.09330425618151525,110.4687500036124,0,1,11.28713651877133,60.717942528735634,118.91894117647058,35.027205128205125,,,7.2358,47.469193548387096,143.631,30.101999999999997,22.781333333333333,,,959.0,952.0,1,0,0,0,0,0,0
AS14.01,8.0,-0.3333333333333333,1.0,0.08335853148884136,104.36819079047754,0,1,14.320592233009709,59.51191836734694,138.23689655172413,37.039125,,,7.6094,48.35886666666667,143.631,30.101999999999997,48.742000000000004,,,956.0,952.0,0,1,0,0,0,0,0
AS14.01,8.0,-0.5,1.0,0.09207176643409334,99.71336362888287,0,0,17.1623828125,48.93576744186046,178.1314285714286,,,,7.105,86.63016666666667,,,66.08275,,,956.0,952.0,0,0,1,0,0,0,0
AS14.01,,,,0.007842595452107337,137.594923074429,0,0,13.283242424242424,37.581227272727276,318.514,,,,,25.104,,,66.08275,,,956.0,952.0,0,0,0,1,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,1,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,1,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,0,1
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,1,0,0,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,1,0,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,1,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,1,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,1,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,1,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,0,0,0,1
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,1,0,0,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,1,0,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,1,0,0,0,0
AS14.01,,,,,,0,0,,,,,,,,,,,,,,956.0,952.0,0,0,0,1,0,0,0
